Timestamp,Which stage of life best describes you right now?,  What is your age group?  ,How often do you feel unsure or confused while making everyday decisions?  ,What kind of decisions do you usually overthink the most?  ,"When you’re stuck on a decision, what do you usually do first?  ",How often do you feel overwhelmed by having too many choices?  ,How comfortable are you taking risks when making decisions?  ,What matters most to you when making important decisions?  ,What frustrates you most while making an important decision?  ,"If an AI could help you make decisions, what would you want it to do?  ",Would you trust an AI system that explains its reasoning instead of just giving answers?  ,"How important is it for AI suggestions to be ethical, unbiased, and responsible?", How would you prefer AI recommendations to be presented?  ,What would make you not trust an AI decision support tool?  ,"In one line, what does “making the right decision” mean to you?  "
2/10/2026 21:03:35,Student / Exploring education and career options,18–21,Very often,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Ask friends or family,Almost always,I prefer to play it safe,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Too many options","Compare different options clearly, Personalize advice based on my situation","Yes, definitely",Extremely important,Short explanations with reasoning,I would not trust an AI decision support tool if it answers predefined answers and not those answers which are aligned to my personal experience and problem ,"Making the right decision means that I shoudl not regret later, and fullfill the need i was looking for at the start"
2/10/2026 22:26:19,Life transition / Re-evaluating goals,Above 30,Sometimes,Career or education choices,Delay the decision,Sometimes,I’m okay with moderate risks,Long-term outcomes,Too many options,Personalize advice based on my situation,"Yes, definitely",Extremely important,Clear comparison of options,Conflicting answers on different times; incorrect advice for example in medical use cases,Right for my context and in my best interest
2/10/2026 22:27:21,Family & responsibility phase,Above 30,Sometimes,Personal or relationship decisions,Delay the decision,Sometimes,I prefer to play it safe,Opinions of others,Lack of confidence,Show risks and possible outcomes,"Maybe, if it’s transparent",Important,Simple step-by-step guidance,Decision may go wrong,First take decision then make it right
2/10/2026 22:28:31,Family & responsibility phase,Above 30,Rarely,Financial or purchase decisions,Ask friends or family,Sometimes,It depends on the situation,Long-term outcomes,Too many options,Show risks and possible outcomes,Not sure,Extremely important,Clear comparison of options,Rare usage of AI,Not thinking twice
2/10/2026 22:34:08,Family & responsibility phase,Above 30,Rarely,Financial or purchase decisions,Ask friends or family,Rarely,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,Show risks and possible outcomes,"Yes, definitely",Extremely important,Clear comparison of options,Predict similar answer for multiple questions ,Logical reasoning 
2/10/2026 22:36:33,Student / Exploring education and career options,18–21,Sometimes,Personal or relationship decisions,Go with my gut feeling,Sometimes,It depends on the situation,Short-term convenience,Fear of making the wrong choice,Show risks and possible outcomes,"Maybe, if it’s transparent",Extremely important,Simple step-by-step guidance,Beacuse all the answer are sourced through intermet and internet cannot be trusted,Analysis 
2/10/2026 22:41:38,Student / Exploring education and career options,Below 18,Sometimes,Career or education choices,Go with my gut feeling,Often,I prefer to play it safe,Short-term convenience,"Fear of making the wrong choice, Conflicting advice from others, Lack of confidence","Break the decision into simple steps, Show risks and possible outcomes","Maybe, if it’s transparent",Extremely important,Short explanations with reasoning,It predicts similar opinions for different scenarios,For me making the right decision is the one after which I feel more confident
2/10/2026 22:44:57,Early career / Building professional experience,Above 30,Rarely,Career or education choices,Go with my gut feeling,Rarely,I prefer to play it safe,Avoiding mistakes / minimizing risk,Not knowing possible outcomes,Personalize advice based on my situation,"Maybe, if it’s transparent",Extremely important,Clear comparison of options,It works on an algorithm written by human,Clear choice leading to expected outcome
2/10/2026 22:45:57,Student / Exploring education and career options,Below 18,Sometimes,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions",Ask friends or family,Often,It depends on the situation,Long-term outcomes,Too many options,"Show risks and possible outcomes, Compare different options clearly","Maybe, if it’s transparent",Extremely important,Simple step-by-step guidance,Biasness ,To be unbiased and responsible 
2/10/2026 22:50:25,Student / Exploring education and career options,18–21,Sometimes,Career or education choices,Search online (Google / social media),Often,It depends on the situation,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes","Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation","Maybe, if it’s transparent",Extremely important,Visual outcomes or scenarios,Unclear responses,Getting the desired outcome
2/10/2026 22:51:58,Student / Exploring education and career options,18–21,Sometimes,Career or education choices,Ask friends or family,Rarely,I avoid risks whenever possible,Avoiding mistakes / minimizing risk,Not knowing possible outcomes,Personalize advice based on my situation,"Maybe, if it’s transparent",Extremely important,Short explanations with reasoning,If it's very ethical and bookish answer ,Long term and if possible no risk at all
2/10/2026 22:52:26,Student / Exploring education and career options,18–21,Sometimes,"Career or education choices, Financial or purchase decisions, Health or lifestyle choices",Search online (Google / social media),Often,It depends on the situation,Avoiding mistakes / minimizing risk,"Not knowing possible outcomes, Too many options",Show risks and possible outcomes,"Maybe, if it’s transparent",Extremely important,Visual outcomes or scenarios,Transparency and step by step information ,Usually believe in trusting the process 
2/10/2026 22:52:57,Independent adult / Managing personal and financial decisions,18–21,Rarely,Financial or purchase decisions,Go with my gut feeling,Sometimes,It depends on the situation,Long-term outcomes,Conflicting advice from others,Show risks and possible outcomes,"No, I prefer human advice",Important,Simple step-by-step guidance,Because ai is not a human.,Feels good 
2/10/2026 22:53:39,Family & responsibility phase,Above 30,Sometimes,"Financial or purchase decisions, Personal or relationship decisions",Search online (Google / social media),Often,It depends on the situation,Long-term outcomes,"Not knowing possible outcomes, Too many options","Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Yes, definitely",Important,Clear comparison of options,Didn’t understand question properly,Declutterred extra hustle from life and more clarity to achieve the goal
2/10/2026 22:55:12,Early career / Building professional experience,22–25,Almost Never,I generally don’t overthink decisions,Go with my gut feeling,Sometimes,It depends on the situation,Short-term convenience,"Too many options, Conflicting advice from others, Lack of confidence","Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation","Maybe, if it’s transparent",Slightly important,Visual outcomes or scenarios,Bias,Having the right outcomes
2/10/2026 22:56:13,Student / Exploring education and career options,18–21,Rarely,I generally don’t overthink decisions,Go with my gut feeling,Sometimes,It depends on the situation,Long-term outcomes,Too many options,Compare different options clearly,"No, I prefer human advice",Extremely important,Visual outcomes or scenarios,It lacking human emotions lol,Do what feels right. Go with the instinct. 
2/10/2026 22:58:32,Student / Exploring education and career options,18–21,Sometimes,"Career or education choices, Financial or purchase decisions",Make a pros and cons list,Sometimes,It depends on the situation,Avoiding mistakes / minimizing risk,Fear of making the wrong choice,"Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation","Maybe, if it’s transparent",Important,Simple step-by-step guidance,.,.
2/10/2026 22:58:56,Family & responsibility phase,Above 30,Rarely,"Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Ask friends or family,Often,I prefer to play it safe,Opinions of others,"Fear of making the wrong choice, Not knowing possible outcomes, Lack of confidence","Break the decision into simple steps, Show risks and possible outcomes","Maybe, if it’s transparent",Important,Clear comparison of options,In Medical field,Positive outcome
2/10/2026 23:00:39,Family & responsibility phase,Above 30,Sometimes,"Financial or purchase decisions, Health or lifestyle choices",Ask friends or family,Sometimes,It depends on the situation,Long-term outcomes,Lack of confidence,Personalize advice based on my situation,Not sure,Important,Simple step-by-step guidance,Data privacy,To get more clarity to move forward 
2/10/2026 23:00:40,Student / Exploring education and career options,Below 18,Very often,"Career or education choices, Personal or relationship decisions",Delay the decision,Often,It depends on the situation,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes, Too many options","Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation","Maybe, if it’s transparent",Extremely important,Visual outcomes or scenarios,If it lacks accountability for its errors and if there’s no evidence it was properly tested in real world situations ,It means choosing the option that best balances facts and long term impact
2/10/2026 23:01:30,Student / Exploring education and career options,18–21,Rarely,Financial or purchase decisions,Ask friends or family,Rarely,It depends on the situation,Avoiding mistakes / minimizing risk,Not knowing possible outcomes,Show risks and possible outcomes,"Maybe, if it’s transparent",Important,Clear comparison of options,       ,Feels good 
2/10/2026 23:03:55,Student / Exploring education and career options,18–21,Very often,Personal or relationship decisions,Search online (Google / social media),Often,I’m okay with moderate risks,Long-term outcomes,Conflicting advice from others,Personalize advice based on my situation,"Yes, definitely",Extremely important,Simple step-by-step guidance,"biased opinions, non personalised answers","Making the right decision for me would be something that benefits me for the longer run, doesn’t have too many risks and that it feels right from within. Done and based with ethically. "
2/10/2026 23:06:21,Early career / Building professional experience,22–25,Rarely,I generally don’t overthink decisions,Go with my gut feeling,Often,I love taking risks,Avoiding mistakes / minimizing risk,Conflicting advice from others,Compare different options clearly,Not sure,Important,Visual outcomes or scenarios,Generic,Whatever feels good and no regrets later.
2/10/2026 23:06:34,Student / Exploring education and career options,18–21,Sometimes,Career or education choices,Go with my gut feeling,Sometimes,I love taking risks,Long-term outcomes,Too many options,Explain why a suggestion is given,Not sure,Important,Simple step-by-step guidance,Wrong or misleading recommendations,Choosing what’s best after thinking no matter the results.
2/10/2026 23:07:31,Life transition / Re-evaluating goals,18–21,Very often,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions",Go with my gut feeling,Sometimes,I’m okay with moderate risks,Long-term outcomes,"Fear of making the wrong choice, Conflicting advice from others","Show risks and possible outcomes, Personalize advice based on my situation","Maybe, if it’s transparent",Important,Short explanations with reasoning,ai is not a human and somewhat cant understand human emotions ,..
2/10/2026 23:08:34,Student / Exploring education and career options,18–21,Sometimes,Career or education choices,Ask friends or family,Sometimes,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,Show risks and possible outcomes,Not sure,Important,Clear comparison of options,"If it gives recommendations without explaining the reasoning, ignores important context, or shows clear bias or inconsistency.","Making a choice that feels thoughtful, informed, and right in the long run."
2/10/2026 23:09:38,Early career / Building professional experience,Above 30,Sometimes,"Career or education choices, Financial or purchase decisions",Ask friends or family,Often,It depends on the situation,Avoiding mistakes / minimizing risk,Not knowing possible outcomes,"Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Maybe, if it’s transparent",Extremely important,Clear comparison of options,Depending on the situations reasojing may lead to give wrong options / Options that provides less outcome ,Clear direction to provide the out come with comapairing all possible outcomes in both positive amd negetuve manner 
2/10/2026 23:11:19,Early career / Building professional experience,18–21,Sometimes,"Career or education choices, Financial or purchase decisions",Delay the decision,Often,I prefer to play it safe,Long-term outcomes,Fear of making the wrong choice,Show risks and possible outcomes,"Maybe, if it’s transparent",Extremely important,Clear comparison of options,If it's not transparent and doesn't give biased opinion ,A decision that is less likely to make future problems in that scenario 
2/10/2026 23:13:16,Family & responsibility phase,Above 30,Sometimes,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Go with my gut feeling,Often,I love taking risks,Long-term outcomes,"Fear of making the wrong choice, Too many options","Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation","Yes, definitely",Extremely important,Simple step-by-step guidance,Lack of emotional quotient,Considering all the right parameters including emotional intelligence
2/10/2026 23:18:00,Student / Exploring education and career options,18–21,Sometimes,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions",Ask friends or family,Often,It depends on the situation,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Conflicting advice from others","Compare different options clearly, Explain why a suggestion is given","Maybe, if it’s transparent",Important,Short explanations with reasoning,It gives almost the same answers to everyone,"Avoiding mistakes, and works for long term"
2/10/2026 23:23:32,Life transition / Re-evaluating goals,22–25,Very often,"Career or education choices, Personal or relationship decisions",Ask friends or family,Almost always,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,"Show risks and possible outcomes, Compare different options clearly, Explain why a suggestion is given","Maybe, if it’s transparent",Extremely important,Clear comparison of options,If it agrees with me all the time,Something that offers strong long term benefits with little to no risk.
2/10/2026 23:23:59,Student / Exploring education and career options,18–21,Sometimes,Financial or purchase decisions,Delay the decision,Almost always,I’m okay with moderate risks,Short-term convenience,Fear of making the wrong choice,Show risks and possible outcomes,Not sure,Extremely important,Clear comparison of options,Dhruv soni,Making the right decision means choosing not what you want but what you need
2/10/2026 23:24:16,Student / Exploring education and career options,18–21,Very often,Career or education choices,Ask friends or family,Often,I’m okay with moderate risks,Long-term outcomes,"Fear of making the wrong choice, Too many options","Break the decision into simple steps, Personalize advice based on my situation","Maybe, if it’s transparent",Extremely important,Clear comparison of options,Unethical ,Something that benefits me 
2/10/2026 23:25:09,Student / Exploring education and career options,18–21,Rarely,"Career or education choices, Personal or relationship decisions",Search online (Google / social media),Almost always,I love taking risks,Long-term outcomes,Fear of making the wrong choice,Show risks and possible outcomes,"Yes, definitely",Important,Simple step-by-step guidance,Not considering emotional aspects of situations.,Taking the right step towards the goal to be achieved.
2/10/2026 23:25:40,Student / Exploring education and career options,18–21,Sometimes,Career or education choices,Ask friends or family,Rarely,I’m okay with moderate risks,Short-term convenience,Fear of making the wrong choice,Break the decision into simple steps,"Maybe, if it’s transparent",Extremely important,Simple step-by-step guidance,Beacuse of the internet as not everything is correct,Success
2/10/2026 23:26:11,Student / Exploring education and career options,Below 18,Sometimes,"Career or education choices, Personal or relationship decisions, Health or lifestyle choices",Search online (Google / social media),Often,I’m okay with moderate risks,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes, Conflicting advice from others","Break the decision into simple steps, Show risks and possible outcomes, Personalize advice based on my situation","Yes, definitely",Extremely important,Simple step-by-step guidance,I wouldn’t trust it if its decisions aren’t transparent or can’t be explained clearly.,"choosing the option that best aligns your values and long term well being, even when it’s hard."
2/10/2026 23:29:01,Student / Exploring education and career options,18–21,Rarely,Health or lifestyle choices,Search online (Google / social media),Sometimes,I’m okay with moderate risks,Long-term outcomes,Not knowing possible outcomes,Break the decision into simple steps,"Yes, definitely",Slightly important,Clear comparison of options,"No Transparency (Black Box Decisions)  If the tool can’t explain why it made a recommendation (no logic, no reasoning, no sources), that’s a red flag. You should be able to see: 	•	What data it used 	•	How confident it is 	•	Key factors influencing the decision  ⸻  📉 2) Poor or Biased Data  If the AI is trained on: 	•	Outdated data 	•	Incomplete data 	•	Biased data (favoring certain groups or outcomes)  Then its decisions can be unfair or wrong. Garbage in = garbage out.","Making the right decision means choosing the option that best aligns with your goals, values, and the available evidence while minimizing harm and risk.”"
2/10/2026 23:29:46,Student / Exploring education and career options,18–21,Rarely,"Financial or purchase decisions, Personal or relationship decisions",Search online (Google / social media),Often,I’m okay with moderate risks,Short-term convenience,Not knowing possible outcomes,Personalize advice based on my situation,"Maybe, if it’s transparent",Important,Simple step-by-step guidance,"No Transparency (Black Box Decisions)  If the tool can’t explain why it made a recommendation (no logic, no reasoning, no sources), that’s a red flag. You should be able to see: 	•	What data it used 	•	How confident it is 	•	Key factors influencing the decision  ⸻  📉 2) Poor or Biased Data  If the AI is trained on: 	•	Outdated data 	•	Incomplete data 	•	Biased data (favoring certain groups or outcomes)  Then its decisions can be unfair or wrong. Garbage in = garbage out.","“Making the right decision means choosing the option that best aligns with your goals, values, and the available evidence while minimizing harm and risk.”"
2/10/2026 23:35:14,Student / Exploring education and career options,18–21,Sometimes,"Financial or purchase decisions, Personal or relationship decisions",Ask friends or family,Often,It depends on the situation,Long-term outcomes,"Fear of making the wrong choice, Too many options, Conflicting advice from others","Break the decision into simple steps, Show risks and possible outcomes, Personalize advice based on my situation",Not sure,Important,Simple step-by-step guidance,Privacy,Having confidence with future outcomes 
2/10/2026 23:35:27,Independent adult / Managing personal and financial decisions,18–21,Sometimes,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices, I generally don’t overthink decisions",Make a pros and cons list,Often,I love taking risks,Long-term outcomes,Fear of making the wrong choice,Show risks and possible outcomes,"Yes, definitely",Important,Simple step-by-step guidance,no,no
2/10/2026 23:35:48,Early career / Building professional experience,18–21,Sometimes,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions",Search online (Google / social media),Often,It depends on the situation,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Conflicting advice from others, Lack of confidence","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Maybe, if it’s transparent",Extremely important,Visual outcomes or scenarios,"Lack of transparency, poor data quality and biased or unfair outcomes",Selecting the most responsible and beneficial option based on facts and context
2/10/2026 23:36:01,Student / Exploring education and career options,18–21,Sometimes,"Career or education choices, Health or lifestyle choices",Search online (Google / social media),Often,It depends on the situation,Short-term convenience,Not knowing possible outcomes,Break the decision into simple steps,Not sure,Slightly important,Clear comparison of options,Poor or biased data as it always show sponsors one first,Long term impact
2/10/2026 23:37:34,Early career / Building professional experience,18–21,Sometimes,Health or lifestyle choices,Go with my gut feeling,Often,I love taking risks,Long-term outcomes,Not knowing possible outcomes,Break the decision into simple steps,"Yes, definitely",Important,Visual outcomes or scenarios,Outcomes and right evaluation ,Positive result
2/10/2026 23:37:47,Student / Exploring education and career options,18–21,Sometimes,Career or education choices,Search online (Google / social media),Often,It depends on the situation,Long-term outcomes,Not knowing possible outcomes,Compare different options clearly,"Maybe, if it’s transparent",Slightly important,Simple step-by-step guidance,NA,NA
2/10/2026 23:41:39,Student / Exploring education and career options,18–21,Sometimes,"Career or education choices, Financial or purchase decisions, Health or lifestyle choices",Search online (Google / social media),Often,It depends on the situation,Long-term outcomes,"Fear of making the wrong choice, Lack of confidence","Break the decision into simple steps, Show risks and possible outcomes, Personalize advice based on my situation","Maybe, if it’s transparent",Extremely important,Simple step-by-step guidance,hallucinations obv and when it has limited decision support ideas,when it actually helps me in reducing my confusions
2/10/2026 23:46:37,Early career / Building professional experience,18–21,Sometimes,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Ask friends or family,Sometimes,I’m okay with moderate risks,Long-term outcomes,"Fear of making the wrong choice, Conflicting advice from others, Lack of confidence",Personalize advice based on my situation,"Maybe, if it’s transparent",Important,Clear comparison of options,Always sounds 100% confident,The option that balances consequences both now and in long term 
2/10/2026 23:49:38,Student / Exploring education and career options,18–21,Very often,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Delay the decision,Almost always,I’m okay with moderate risks,Short-term convenience,Not knowing possible outcomes,"Show risks and possible outcomes, Explain why a suggestion is given",Not sure,Extremely important,Clear comparison of options,If it shares my personal data across platforms,Which can give me long term relief
2/10/2026 23:51:36,Early career / Building professional experience,18–21,Sometimes,Financial or purchase decisions,Delay the decision,Often,I’m okay with moderate risks,Avoiding mistakes / minimizing risk,Too many options,Compare different options clearly,"Yes, definitely",Important,Short explanations with reasoning,It can’t explain its decisions,What satisfied my soul.
2/10/2026 23:52:16,Student / Exploring education and career options,18–21,Very often,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Delay the decision,Often,It depends on the situation,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes, Too many options, Conflicting advice from others, Lack of confidence","Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given",Not sure,Important,Visual outcomes or scenarios,"AI does not think like a human and according to me , AI will not be able to think about my perspective.",A decision that is okay for my future and will provide long term benefits to me.
2/10/2026 23:57:18,Life transition / Re-evaluating goals,18–21,Very often,Career or education choices,Search online (Google / social media),Sometimes,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,Personalize advice based on my situation,Not sure,Extremely important,Short explanations with reasoning,Not being realistic ,Solving my problem 
