Which stage of life best describes you right now?,  What is your age group?  ,How often do you feel unsure or confused while making everyday decisions?  ,What kind of decisions do you usually overthink the most?  ,"When you’re stuck on a decision, what do you usually do first?  ",How often do you feel overwhelmed by having too many choices?  ,How comfortable are you taking risks when making decisions?  ,What matters most to you when making important decisions?  ,What frustrates you most while making an important decision?  ,"If an AI could help you make decisions, what would you want it to do?  ",Would you trust an AI system that explains its reasoning instead of just giving answers?  ,"How important is it for AI suggestions to be ethical, unbiased, and responsible?", How would you prefer AI recommendations to be presented?  ,What would make you not trust an AI decision support tool?  ,"In one line, what does “making the right decision” mean to you?  ",OverthinkingLevel,RiskTolerance,FrustrationScore,RiskScore_raw,RiskScore,RiskCategory,DecisionStress
Student / Exploring education and career options,18–21,Very often,"Career or education choices, Health or lifestyle choices",Search online (Google / social media),Sometimes,It depends on the situation,Opinions of others,Too many options,Compare different options clearly,Not sure,Important,Clear comparison of options,if ai shares my personal info,choosing the best possible option,3.0,2.0,1,1.9,31.57894736842105,Low,3.0
Student / Exploring education and career options,18–21,Rarely,I generally don’t overthink decisions,Go with my gut feeling,Rarely,I love taking risks,Long-term outcomes,Too many options,Explain why a suggestion is given,Not sure,Important,Clear comparison of options,nothing,AI,2.0,4.0,1,2.1999999999999997,47.36842105263156,Moderate,2.0
Independent adult / Managing personal and financial decisions,22–25,Sometimes,"Career or education choices, Personal or relationship decisions",Ask friends or family,Sometimes,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,Show risks and possible outcomes,"Maybe, if it’s transparent",Important,Simple step-by-step guidance,Lack of transparency,Making an informed choice that leads to the best possible outcome.,3.0,2.0,1,1.9,31.57894736842105,Low,3.0
Student / Exploring education and career options,18–21,Sometimes,"Career or education choices, Health or lifestyle choices",Delay the decision,Often,I’m okay with moderate risks,Other,Too many options,Explain why a suggestion is given,Not sure,Extremely important,Clear comparison of options,.,I can make it right,2.0,3.0,1,1.9,31.57894736842105,Low,2.0
Student / Exploring education and career options,18–21,Sometimes,Health or lifestyle choices,Make a pros and cons list,Often,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,Show risks and possible outcomes,"Maybe, if it’s transparent",Extremely important,Clear comparison of options,Wrong information,Important,2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Early career / Building professional experience,18–21,Sometimes,Personal or relationship decisions,Go with my gut feeling,Often,It depends on the situation,Short-term convenience,Too many options,Compare different options clearly,"Maybe, if it’s transparent",Slightly important,Clear comparison of options,In personal matter,Which is beneficial to me,2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Student / Exploring education and career options,18–21,Sometimes,Personal or relationship decisions,Ask friends or family,Sometimes,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,Show risks and possible outcomes,"Maybe, if it’s transparent",Important,Simple step-by-step guidance,AI cannot explain its intuition or be held morally accountable for its mistakes,Choosing the option that can stand by me  tomorrow even after the emotions cool down,3.0,2.0,1,1.9,31.57894736842105,Low,3.0
Student / Exploring education and career options,18–21,Sometimes,Financial or purchase decisions,Go with my gut feeling,Often,I love taking risks,Long-term outcomes,Conflicting advice from others,Show risks and possible outcomes,"Yes, definitely",Extremely important,Simple step-by-step guidance,Leaking information,Positive,2.0,4.0,1,2.1999999999999997,47.36842105263156,Moderate,2.0
Student / Exploring education and career options,18–21,Sometimes,Personal or relationship decisions,Search online (Google / social media),Sometimes,I’m okay with moderate risks,Short-term convenience,Not knowing possible outcomes,Break the decision into simple steps,"Maybe, if it’s transparent",Extremely important,Simple step-by-step guidance,Deepfake,Success,3.0,3.0,1,2.1999999999999997,47.36842105263156,Moderate,3.0
Early career / Building professional experience,18–21,Very often,Financial or purchase decisions,Go with my gut feeling,Almost always,I love taking risks,Short-term convenience,Not knowing possible outcomes,Compare different options clearly,Not sure,Not important,Short explanations with reasoning,No I do not trust ai because of all the ai videos that got leak with fake information,Making right decisions makes you think properly and perpetually,2.0,4.0,1,2.1999999999999997,47.36842105263156,Moderate,2.0
Early career / Building professional experience,22–25,Rarely,I generally don’t overthink decisions,Go with my gut feeling,Sometimes,It depends on the situation,Long-term outcomes,Conflicting advice from others,Compare different options clearly,"Maybe, if it’s transparent",Slightly important,Visual outcomes or scenarios,"It hallucinates / fabricates important facts, citations, studies, numbers or people — and presents them as real",Making the right decision means choosing the action that — given everything you actually care about and the true probabilities at the time — gives you the highest probability of the future you most prefer,3.0,2.0,1,1.9,31.57894736842105,Low,3.0
Student / Exploring education and career options,18–21,Very often,Financial or purchase decisions,Ask friends or family,Often,It depends on the situation,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes, Conflicting advice from others","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Maybe, if it’s transparent",Slightly important,Visual outcomes or scenarios,Maybe it can't understand those emotions that an human can like somethimes you make some decisions just for experience or you know it will have bad outcome but you still do it just because you want to no AI can get that feeling,"To me its something that end up remaining a mark , it can be wrong or right doesn't matter but i should be satisfied with the outcomes",2.0,2.0,3,2.4000000000000004,57.89473684210528,Moderate,2.0
Student / Exploring education and career options,18–21,Sometimes,"Career or education choices, Financial or purchase decisions",Go with my gut feeling,Often,It depends on the situation,Avoiding mistakes / minimizing risk,"Not knowing possible outcomes, Conflicting advice from others","Break the decision into simple steps, Show risks and possible outcomes, Personalize advice based on my situation","Maybe, if it’s transparent",Extremely important,Visual outcomes or scenarios,Biased training data of the AI,A part of life,2.0,2.0,2,2.0,36.8421052631579,Moderate,2.0
Student / Exploring education and career options,18–21,Very often,"Career or education choices, Personal or relationship decisions",Ask friends or family,Almost always,It depends on the situation,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes, Too many options","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Yes, definitely",Extremely important,Clear comparison of options,when it acts like chatgpt agrees to everything is there just to agree,"It means that I doesn’t have negative long term effects, satisfies my need at the time, making the best out of the situation",2.0,2.0,3,2.4000000000000004,57.89473684210528,Moderate,2.0
Family & responsibility phase,Above 30,Rarely,Financial or purchase decisions,Make a pros and cons list,Sometimes,It depends on the situation,Long-term outcomes,Too many options,Compare different options clearly,"Yes, definitely",Important,Visual outcomes or scenarios,Data Privacy n security issues,It Involves best possible action among many alternatives to achieve long term goal.,3.0,2.0,1,1.9,31.57894736842105,Low,3.0
Early career / Building professional experience,18–21,Rarely,"Personal or relationship decisions, Health or lifestyle choices",Search online (Google / social media),Often,It depends on the situation,Avoiding mistakes / minimizing risk,"Conflicting advice from others, Lack of confidence","Break the decision into simple steps, Compare different options clearly","Maybe, if it’s transparent",Important,Clear comparison of options,The breach of data these days.,Thinking first and then making a decision,2.0,2.0,2,2.0,36.8421052631579,Moderate,2.0
Student / Exploring education and career options,18–21,Very often,Career or education choices,Delay the decision,Almost always,I love taking risks,Avoiding mistakes / minimizing risk,Too many options,Compare different options clearly,"No, I prefer human advice",Important,Visual outcomes or scenarios,🚬🚬💨💨,Weed,2.0,4.0,1,2.1999999999999997,47.36842105263156,Moderate,2.0
Student / Exploring education and career options,18–21,Rarely,Health or lifestyle choices,Go with my gut feeling,Sometimes,I’m okay with moderate risks,Avoiding mistakes / minimizing risk,"Not knowing possible outcomes, Too many options","Show risks and possible outcomes, Compare different options clearly","Maybe, if it’s transparent",Important,Clear comparison of options,.,.,3.0,3.0,2,2.5999999999999996,68.42105263157892,High,3.0
Student / Exploring education and career options,18–21,Very often,"Career or education choices, Financial or purchase decisions",Go with my gut feeling,Almost always,I’m okay with moderate risks,Long-term outcomes,Not knowing possible outcomes,Personalize advice based on my situation,Not sure,Extremely important,Clear comparison of options,not transparent,not regretting it later,2.0,3.0,1,1.9,31.57894736842105,Low,2.0
Student / Exploring education and career options,18–21,Sometimes,Personal or relationship decisions,Delay the decision,Sometimes,I’m okay with moderate risks,Avoiding mistakes / minimizing risk,Lack of confidence,"Show risks and possible outcomes, Personalize advice based on my situation","Maybe, if it’s transparent",Important,Visual outcomes or scenarios,If it is wasting my time and not helping me with my situatiin.,The decision which makes most people happy.,3.0,3.0,1,2.1999999999999997,47.36842105263156,Moderate,3.0
Student / Exploring education and career options,18–21,Very often,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Go with my gut feeling,Sometimes,It depends on the situation,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes, Conflicting advice from others, Lack of confidence","Show risks and possible outcomes, Compare different options clearly","Maybe, if it’s transparent",Important,Short explanations with reasoning,I like to learn from my mistakes even if it breaks me,"accept things if you aren't capable of changing them , to learn something and become better",3.0,2.0,4,3.1,94.73684210526315,High,3.0
Student / Exploring education and career options,18–21,Sometimes,Personal or relationship decisions,Delay the decision,Rarely,I’m okay with moderate risks,Short-term convenience,Lack of confidence,"Break the decision into simple steps, Show risks and possible outcomes","Maybe, if it’s transparent",Extremely important,Clear comparison of options,May or may not ai will understand my feelings,The thing good for me,2.0,3.0,1,1.9,31.57894736842105,Low,2.0
Early career / Building professional experience,18–21,Rarely,I generally don’t overthink decisions,Make a pros and cons list,Rarely,I love taking risks,Opinions of others,"Not knowing possible outcomes, Too many options",Show risks and possible outcomes,"Yes, definitely",Slightly important,Clear comparison of options,"Lack of transparency and explainability, its mean Confidence are the key of my life","You may not control all the events that happen to you, but you can decide not to be reduced by them",2.0,4.0,2,2.5999999999999996,68.42105263157892,High,2.0
Student / Exploring education and career options,Above 30,Sometimes,Career or education choices,Ask friends or family,Sometimes,I prefer to play it safe,Long-term outcomes,Not knowing possible outcomes,Compare different options clearly,Not sure,Important,Clear comparison of options,.,.,3.0,1.0,1,1.6,15.789473684210538,Low,3.0
Family & responsibility phase,Above 30,Sometimes,I generally don’t overthink decisions,Ask friends or family,Sometimes,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,Personalize advice based on my situation,"Maybe, if it’s transparent",Extremely important,Clear comparison of options,Lack of emotion,Feasible,3.0,2.0,1,1.9,31.57894736842105,Low,3.0
Life transition / Re-evaluating goals,18–21,Very often,"Personal or relationship decisions, Health or lifestyle choices",Search online (Google / social media),Rarely,I love taking risks,Long-term outcomes,Fear of making the wrong choice,Break the decision into simple steps,Not sure,Extremely important,Clear comparison of options,"AI may give advice, but the decision of what’s right or wrong is mine",Choosing what aligns with your values and owning the outcome,2.0,4.0,1,2.1999999999999997,47.36842105263156,Moderate,2.0
Others,Above 30,Sometimes,"Financial or purchase decisions, Personal or relationship decisions",Search online (Google / social media),Sometimes,I’m okay with moderate risks,Long-term outcomes,Conflicting advice from others,Show risks and possible outcomes,"Yes, definitely",Extremely important,Simple step-by-step guidance,If it is biased or talking only about one option. AI should give pros and cons of all options in a fair way. As decision has to be done by me,Selecting the best option based on desired outcomes,3.0,3.0,1,2.1999999999999997,47.36842105263156,Moderate,3.0
Student / Exploring education and career options,18–21,Sometimes,"Financial or purchase decisions, Personal or relationship decisions",Search online (Google / social media),Rarely,It depends on the situation,Long-term outcomes,Conflicting advice from others,"Show risks and possible outcomes, Compare different options clearly","Maybe, if it’s transparent",Extremely important,Clear comparison of options,Favoring something or someone while ditching the other,Long term outcomes how  the decision will affect my upcoming life,2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Family & responsibility phase,Above 30,Sometimes,I generally don’t overthink decisions,Ask friends or family,Sometimes,It depends on the situation,Long-term outcomes,"Not knowing possible outcomes, Conflicting advice from others","Compare different options clearly, Personalize advice based on my situation",Not sure,Important,Clear comparison of options,Its will always be biased,Shows how sincere you are in taking life challenges,3.0,2.0,2,2.3,52.63157894736841,Moderate,3.0
Student / Exploring education and career options,18–21,Sometimes,Career or education choices,Ask friends or family,Often,I’m okay with moderate risks,Long-term outcomes,Not knowing possible outcomes,Show risks and possible outcomes,"Maybe, if it’s transparent",Important,Clear comparison of options,maybe biased decision,"Making the right decision means choosing the option that best balances facts, ethics, and long-term impact for the people affected",2.0,3.0,1,1.9,31.57894736842105,Low,2.0
Family & responsibility phase,Above 30,Sometimes,"Career or education choices, Financial or purchase decisions, Health or lifestyle choices",Search online (Google / social media),Almost always,It depends on the situation,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Too many options","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Yes, definitely",Extremely important,Short explanations with reasoning,If there is no data supporting or rational,Decision whcih helps in meeting end objective,2.0,2.0,2,2.0,36.8421052631579,Moderate,2.0
Student / Exploring education and career options,18–21,Rarely,Personal or relationship decisions,Ask friends or family,Often,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,"Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Maybe, if it’s transparent",Extremely important,Short explanations with reasoning,"I would not trust an AI decision-support tool if one or more of the following conditions are present:  1. **Lack of transparency** – If the model cannot explain *why* it produced a recommendation (no interpretable logic, features, or rationale), it is unsafe for critical decisions.  2. **Poor or biased data** – If the training data are outdated, incomplete, unrepresentative, or known to contain systematic bias, the outputs will reliably propagate those flaws.  3. **No validation or performance evidence** – Absence of documented accuracy, error rates, confidence intervals, or real-world testing makes the tool unreliable.  4. **Domain mismatch** – If the AI is used outside the conditions it was trained for (different population, geography, regulations, or scale), its conclusions cannot be trusted.  5. **No uncertainty reporting** – Tools that provide single “confident” answers without probabilities, ranges, or risk estimates encourage over-reliance and are dangerous.  6. **Inability to handle edge cases** – If the system fails silently or behaves unpredictably for rare, extreme, or novel inputs, it is unfit for decision support.  7. **Lack of human oversight** – Any system designed to replace expert judgment rather than *support* it (no review, override, or audit mechanism) is a red flag.  8. **Weak governance and accountability** – If it is unclear who is responsible for errors, updates, monitoring, and harm mitigation, trust should be low.  9. **Security and data integrity issues** – Vulnerability to data leakage, adversarial manipulation, or unverified inputs undermines reliability.  10. **History of uncorrected failures** – Repeated errors without transparent fixes or post-mortems indicate poor lifecycle management.  **In short:** if an AI tool cannot justify its reasoning, quantify its uncertainty, demonstrate validated performance, and operate under clear human control, it should not be trusted for decision support—especially in high-stakes contexts.","**Making the right decision means choosing the option that best balances evidence, ethics, and long-term consequences under the given constraints.",2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Family & responsibility phase,Above 30,Almost Never,Financial or purchase decisions,Delay the decision,Sometimes,It depends on the situation,Long-term outcomes,"Not knowing possible outcomes, Too many options","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Maybe, if it’s transparent",Extremely important,Visual outcomes or scenarios,"Sponsorship, affiliation, and conflict of interests",A process that matures with experience,3.0,2.0,2,2.3,52.63157894736841,Moderate,3.0
Student / Exploring education and career options,18–21,Sometimes,Career or education choices,Search online (Google / social media),Often,It depends on the situation,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes, Too many options",Break the decision into simple steps,"Yes, definitely",Important,Simple step-by-step guidance,If I don't like their answer,If I like the answers,2.0,2.0,3,2.4000000000000004,57.89473684210528,Moderate,2.0
Family & responsibility phase,22–25,Almost Never,Personal or relationship decisions,Ask friends or family,Rarely,It depends on the situation,Other,Lack of confidence,Compare different options clearly,Not sure,Not important,Simple step-by-step guidance,Not,Just Go with the flow,2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Student / Exploring education and career options,18–21,Sometimes,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions",Make a pros and cons list,Sometimes,I love taking risks,Long-term outcomes,Fear of making the wrong choice,Break the decision into simple steps,"Yes, definitely",Important,Simple step-by-step guidance,Hallucinations,Long term success,3.0,4.0,1,2.4999999999999996,63.15789473684208,Moderate,3.0
Early career / Building professional experience,22–25,Sometimes,"Career or education choices, Personal or relationship decisions",Search online (Google / social media),Often,It depends on the situation,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes, Conflicting advice from others","Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Yes, definitely",Extremely important,Simple step-by-step guidance,biased opinion,something that benefits my well being with minimum downsides and harm to others,2.0,2.0,3,2.4000000000000004,57.89473684210528,Moderate,2.0
Independent adult / Managing personal and financial decisions,Above 30,Sometimes,Personal or relationship decisions,Go with my gut feeling,Sometimes,I avoid risks whenever possible,Long-term outcomes,Fear of making the wrong choice,"Compare different options clearly, Personalize advice based on my situation","Yes, definitely",Extremely important,Short explanations with reasoning,Too generic answers,Inner Peace,3.0,2.0,1,1.9,31.57894736842105,Low,3.0
Early career / Building professional experience,18–21,Rarely,I generally don’t overthink decisions,Go with my gut feeling,Sometimes,I love taking risks,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes",Personalize advice based on my situation,"Maybe, if it’s transparent",Extremely important,Visual outcomes or scenarios,Because AI decision support tool couldn’t analyse the situation and emotions of us which is a major drawback.,"For me, making the right decision means comparing all the options and choosing the option which would be ethical and beneficial for me than the other options.",3.0,4.0,2,2.8999999999999995,84.21052631578944,High,3.0
Independent adult / Managing personal and financial decisions,Above 30,Rarely,I generally don’t overthink decisions,Go with my gut feeling,Sometimes,It depends on the situation,Short-term convenience,Too many options,"Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given",Not sure,Extremely important,Short explanations with reasoning,"Real time situations and practical issues in implementation, others opinion and behaviour",Making right decisions makes the life easy and avoids future issues,3.0,2.0,1,1.9,31.57894736842105,Low,3.0
Family & responsibility phase,Above 30,Almost Never,I generally don’t overthink decisions,Ask friends or family,Rarely,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,Personalize advice based on my situation,"No, I prefer human advice",Not important,Short explanations with reasoning,1) lack of transparency  2) inconsistent result,Right decision means ethical and long term positive outcomes.,2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Early career / Building professional experience,18–21,Sometimes,Financial or purchase decisions,Go with my gut feeling,Sometimes,It depends on the situation,Avoiding mistakes / minimizing risk,Conflicting advice from others,Compare different options clearly,"Maybe, if it’s transparent",Slightly important,Clear comparison of options,Human brain,Positive outcomes,3.0,2.0,1,1.9,31.57894736842105,Low,3.0
Student / Exploring education and career options,18–21,Very often,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions",Delay the decision,Sometimes,It depends on the situation,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes, Conflicting advice from others, Lack of confidence",Explain why a suggestion is given,"No, I prefer human advice",Extremely important,Short explanations with reasoning,The AI part,Idk,3.0,2.0,4,3.1,94.73684210526315,High,3.0
Independent adult / Managing personal and financial decisions,22–25,Very often,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Ask friends or family,Almost always,It depends on the situation,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Conflicting advice from others, Lack of confidence","Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Maybe, if it’s transparent",Extremely important,Clear comparison of options,"If the tool agree with everything I propose. If the tool only understands good and bad or black and white. Human problems are sometimes beyond black and white and the answer lies in the grey area. So if a tool can do that understand that, I would like to use it.",Decision that leads to the best outcomes with least opportunity cost out all the options available.,2.0,2.0,3,2.4000000000000004,57.89473684210528,Moderate,2.0
Student / Exploring education and career options,18–21,Sometimes,Personal or relationship decisions,Search online (Google / social media),Often,It depends on the situation,Short-term convenience,Lack of confidence,"Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Yes, definitely",Important,Clear comparison of options,When it agrees with everything,.,2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Student / Exploring education and career options,Below 18,Sometimes,Career or education choices,Search online (Google / social media),Sometimes,I’m okay with moderate risks,Long-term outcomes,Fear of making the wrong choice,Show risks and possible outcomes,"Maybe, if it’s transparent",Slightly important,Clear comparison of options,AI is always on your side and not put the clear and real options,Straight to the point and know the outcome of the decision,3.0,3.0,1,2.1999999999999997,47.36842105263156,Moderate,3.0
Life transition / Re-evaluating goals,Above 30,Very often,I generally don’t overthink decisions,Go with my gut feeling,Often,It depends on the situation,Long-term outcomes,Conflicting advice from others,Compare different options clearly,"Maybe, if it’s transparent",Important,Clear comparison of options,Personal data exploitation,Positive outcome,2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Student / Exploring education and career options,Below 18,Sometimes,"Financial or purchase decisions, Personal or relationship decisions",Search online (Google / social media),Sometimes,It depends on the situation,Short-term convenience,Not knowing possible outcomes,Compare different options clearly,"Maybe, if it’s transparent",Important,Clear comparison of options,It's not a human mind and don't have emotions,How was the past and how will be the future ...,3.0,2.0,1,1.9,31.57894736842105,Low,3.0
Student / Exploring education and career options,18–21,Very often,Career or education choices,Ask friends or family,Often,I love taking risks,Long-term outcomes,Fear of making the wrong choice,Break the decision into simple steps,"Maybe, if it’s transparent",Important,Clear comparison of options,If it simply suggestions without knowing the corns that we might face in future,Giving clarity and never having doubt in yaking that decision,2.0,4.0,1,2.1999999999999997,47.36842105263156,Moderate,2.0
Student / Exploring education and career options,Below 18,Sometimes,Personal or relationship decisions,Search online (Google / social media),Sometimes,I prefer to play it safe,Short-term convenience,Conflicting advice from others,Break the decision into simple steps,"Yes, definitely",Extremely important,Simple step-by-step guidance,Because they can't give an accurate solution,To know her past,3.0,1.0,1,1.6,15.789473684210538,Low,3.0
