Which stage of life best describes you right now?,  What is your age group?  ,How often do you feel unsure or confused while making everyday decisions?  ,What kind of decisions do you usually overthink the most?  ,"When you’re stuck on a decision, what do you usually do first?  ",How often do you feel overwhelmed by having too many choices?  ,How comfortable are you taking risks when making decisions?  ,What matters most to you when making important decisions?  ,What frustrates you most while making an important decision?  ,"If an AI could help you make decisions, what would you want it to do?  ",Would you trust an AI system that explains its reasoning instead of just giving answers?  ,"How important is it for AI suggestions to be ethical, unbiased, and responsible?", How would you prefer AI recommendations to be presented?  ,What would make you not trust an AI decision support tool?  ,"In one line, what does “making the right decision” mean to you?  ",OverthinkingLevel,RiskTolerance,FrustrationScore,RiskScore_raw,RiskScore,RiskCategory,DecisionStress
Family & responsibility phase,Above 30,Sometimes,Health or lifestyle choices,Ask friends or family,Almost always,I’m okay with moderate risks,Long-term outcomes,Too many options,Break the decision into simple steps,Not sure,Extremely important,Simple step-by-step guidance,Sometimes it makes errors.,According to conditions every decision taken  is right.,2.0,3.0,1,1.9,31.57894736842105,Low,2.0
Early career / Building professional experience,22–25,Sometimes,Career or education choices,Ask friends or family,Often,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,"Show risks and possible outcomes, Compare different options clearly","No, I prefer human advice",Slightly important,Clear comparison of options,"Inconsistent results, biased outputs","Making the right decision means choosing the option that best aligns with the available evidence, ethical principles, and long-term impact, even if it isn’t the easiest or most convenient in the moment.",2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Independent adult / Managing personal and financial decisions,Above 30,Rarely,Personal or relationship decisions,Go with my gut feeling,Sometimes,It depends on the situation,Long-term outcomes,Lack of confidence,Show risks and possible outcomes,Not sure,Important,Clear comparison of options,Sometimes give good decision but sometimes stuck,Gut feeling is right decision,3.0,2.0,1,1.9,31.57894736842105,Low,3.0
Life transition / Re-evaluating goals,Above 30,Sometimes,Financial or purchase decisions,Ask friends or family,Almost always,I’m okay with moderate risks,Avoiding mistakes / minimizing risk,Fear of making the wrong choice,Compare different options clearly,Not sure,Not important,Simple step-by-step guidance,If its complicated,Simple and trustworthy,2.0,3.0,1,1.9,31.57894736842105,Low,2.0
Independent adult / Managing personal and financial decisions,Above 30,Rarely,I generally don’t overthink decisions,Ask friends or family,Sometimes,It depends on the situation,Avoiding mistakes / minimizing risk,Conflicting advice from others,Personalize advice based on my situation,"Maybe, if it’s transparent",Important,Simple step-by-step guidance,It blocks our thought process,Correct decision in correct time according to situation,3.0,2.0,1,1.9,31.57894736842105,Low,3.0
Life transition / Re-evaluating goals,Above 30,Sometimes,I generally don’t overthink decisions,Make a pros and cons list,Often,I’m okay with moderate risks,Long-term outcomes,Not knowing possible outcomes,"Compare different options clearly, Personalize advice based on my situation","Maybe, if it’s transparent",Important,Simple step-by-step guidance,There is no human oversight or accountability for its decisions.,"“Making the right decision means choosing the option that is ethical, well-informed, and has the best long-term outcom",2.0,3.0,1,1.9,31.57894736842105,Low,2.0
Family & responsibility phase,Above 30,Sometimes,Financial or purchase decisions,Ask friends or family,Sometimes,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,Compare different options clearly,Not sure,Slightly important,Visual outcomes or scenarios,Ai is not 100 % perfect,Right decision for right purpose,3.0,2.0,1,1.9,31.57894736842105,Low,3.0
Early career / Building professional experience,22–25,Sometimes,"Financial or purchase decisions, Personal or relationship decisions",Ask friends or family,Often,It depends on the situation,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes","Compare different options clearly, Personalize advice based on my situation","Yes, definitely",Extremely important,Simple step-by-step guidance,If my information is being shared with the third party.,Important,2.0,2.0,2,2.0,36.8421052631579,Moderate,2.0
Student / Exploring education and career options,Below 18,Sometimes,Career or education choices,Go with my gut feeling,Sometimes,I’m okay with moderate risks,Avoiding mistakes / minimizing risk,Too many options,Show risks and possible outcomes,"Maybe, if it’s transparent",Slightly important,Visual outcomes or scenarios,It shares our data to another websites,"What i like to do i do ,i dont think of the output",3.0,3.0,1,2.1999999999999997,47.36842105263156,Moderate,3.0
Student / Exploring education and career options,Below 18,Very often,Financial or purchase decisions,Search online (Google / social media),Often,It depends on the situation,Short-term convenience,Fear of making the wrong choice,Compare different options clearly,Not sure,Slightly important,Clear comparison of options,It can’t be trusted because it is not transparent,Thinking of the output it causes,2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Student / Exploring education and career options,18–21,Rarely,"Career or education choices, Personal or relationship decisions",Ask friends or family,Often,I’m okay with moderate risks,Long-term outcomes,Not knowing possible outcomes,"Break the decision into simple steps, Show risks and possible outcomes","Maybe, if it’s transparent",Important,Clear comparison of options,..,..,2.0,3.0,1,1.9,31.57894736842105,Low,2.0
Student / Exploring education and career options,Below 18,Sometimes,"Career or education choices, Financial or purchase decisions",Search online (Google / social media),Often,I’m okay with moderate risks,Short-term convenience,Fear of making the wrong choice,Compare different options clearly,"No, I prefer human advice",Slightly important,Visual outcomes or scenarios,I never used it,Thinking of the risks involved,2.0,3.0,1,1.9,31.57894736842105,Low,2.0
Student / Exploring education and career options,18–21,Sometimes,"Career or education choices, Financial or purchase decisions",Search online (Google / social media),Often,It depends on the situation,Avoiding mistakes / minimizing risk,Fear of making the wrong choice,Break the decision into simple steps,"Maybe, if it’s transparent",Slightly important,Simple step-by-step guidance,Because of privacy,Abou the outcomes of ai,2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Family & responsibility phase,Above 30,Sometimes,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Go with my gut feeling,Sometimes,I love taking risks,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Maybe, if it’s transparent",Important,Simple step-by-step guidance,"Lack of transparency about how it works, biased suggestions, or advice that clearly ignores my context.","Choosing an option that aligns with my values, considers long-term outcomes, and feels responsible even if the result is uncertain.",3.0,4.0,2,2.8999999999999995,84.21052631578944,High,3.0
Early career / Building professional experience,22–25,Sometimes,"Career or education choices, Personal or relationship decisions, Health or lifestyle choices",Delay the decision,Sometimes,I’m okay with moderate risks,Long-term outcomes,"Conflicting advice from others, Lack of confidence","Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Maybe, if it’s transparent",Extremely important,Simple step-by-step guidance,If it changes the response if asked twice.,Knowing all the pros and cons and then choosing.,3.0,3.0,2,2.5999999999999996,68.42105263157892,High,3.0
Student / Exploring education and career options,Below 18,Sometimes,I generally don’t overthink decisions,Go with my gut feeling,Often,I’m okay with moderate risks,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes","Break the decision into simple steps, Show risks and possible outcomes","Maybe, if it’s transparent",Not important,Simple step-by-step guidance,"lack of transparency, questionable reliability","choosing the path that aligns with my core values and long-term growth, even when it is difficult or uncomfortable.",2.0,3.0,2,2.3,52.63157894736841,Moderate,2.0
Life transition / Re-evaluating goals,Below 18,Sometimes,"Personal or relationship decisions, Health or lifestyle choices",Search online (Google / social media),Almost always,It depends on the situation,Avoiding mistakes / minimizing risk,"Too many options, Conflicting advice from others","Break the decision into simple steps, Explain why a suggestion is given","Maybe, if it’s transparent",Important,Visual outcomes or scenarios,I take advice form human and overthink,A good opinion,2.0,2.0,2,2.0,36.8421052631579,Moderate,2.0
Independent adult / Managing personal and financial decisions,Above 30,Rarely,"Career or education choices, I generally don’t overthink decisions",Make a pros and cons list,Often,I avoid risks whenever possible,Long-term outcomes,Not knowing possible outcomes,Show risks and possible outcomes,"Maybe, if it’s transparent",Extremely important,Visual outcomes or scenarios,if it doesn't give correct answer according to human requirement.,right decision means getting growth in all areas of life and reaches to the next level.,2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Student / Exploring education and career options,18–21,Rarely,"Career or education choices, Financial or purchase decisions, Personal or relationship decisions, Health or lifestyle choices",Search online (Google / social media),Often,I’m okay with moderate risks,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes, Lack of confidence","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Maybe, if it’s transparent",Extremely important,Simple step-by-step guidance,idk,minimising risks,2.0,3.0,3,2.7,73.6842105263158,High,2.0
Student / Exploring education and career options,Below 18,Sometimes,"Career or education choices, Health or lifestyle choices",Delay the decision,Sometimes,I love taking risks,Long-term outcomes,Not knowing possible outcomes,Break the decision into simple steps,"No, I prefer human advice",Extremely important,Simple step-by-step guidance,Wrong opinion,Profitable to me,3.0,4.0,1,2.4999999999999996,63.15789473684208,Moderate,3.0
Family & responsibility phase,Above 30,Rarely,I generally don’t overthink decisions,Ask friends or family,Sometimes,I prefer to play it safe,Avoiding mistakes / minimizing risk,Too many options,Break the decision into simple steps,"No, I prefer human advice",Not important,Simple step-by-step guidance,"Lack of transparency,  unreliability and ethical concern",Great decision-making comes from the ability to create the time and space to think rationally about the issue,3.0,1.0,1,1.6,15.789473684210538,Low,3.0
Family & responsibility phase,Above 30,Almost Never,I generally don’t overthink decisions,Delay the decision,Rarely,It depends on the situation,Opinions of others,Not knowing possible outcomes,Personalize advice based on my situation,"No, I prefer human advice",Not important,Simple step-by-step guidance,"Lack of transparency,  unreliability and ethical concern",Choosing the path aligns with your core values and long term goals,2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Early career / Building professional experience,Above 30,Rarely,Financial or purchase decisions,Ask friends or family,Sometimes,It depends on the situation,Long-term outcomes,Too many options,Break the decision into simple steps,"Maybe, if it’s transparent",Important,Simple step-by-step guidance,"Lack of transparency, unreliability and ethical concerns","The only way to make decision is to find out which is the wrong decision, to examine that other path without fear, and only then decide",3.0,2.0,1,1.9,31.57894736842105,Low,3.0
Student / Exploring education and career options,22–25,Very often,"Career or education choices, Financial or purchase decisions, Health or lifestyle choices",Search online (Google / social media),Almost always,I avoid risks whenever possible,Avoiding mistakes / minimizing risk,"Fear of making the wrong choice, Not knowing possible outcomes, Conflicting advice from others","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation","Yes, definitely",Important,Clear comparison of options,Relationship issues,Knowing all consequences,2.0,2.0,3,2.4000000000000004,57.89473684210528,Moderate,2.0
Early career / Building professional experience,26–30,Sometimes,Health or lifestyle choices,Search online (Google / social media),Sometimes,I’m okay with moderate risks,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes","Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation","Maybe, if it’s transparent",Extremely important,Visual outcomes or scenarios,Failing under pressure testing and weak citations.,After reviewing all options and comparing them thoroughly,3.0,3.0,2,2.5999999999999996,68.42105263157892,High,3.0
Student / Exploring education and career options,18–21,Sometimes,"Career or education choices, Personal or relationship decisions",Go with my gut feeling,Often,I’m okay with moderate risks,Long-term outcomes,"Not knowing possible outcomes, Too many options","Show risks and possible outcomes, Compare different options clearly","No, I prefer human advice",Not important,Clear comparison of options,Make important emotional decisions,i should feel it right in my gut,2.0,3.0,2,2.3,52.63157894736841,Moderate,2.0
Independent adult / Managing personal and financial decisions,Above 30,Rarely,Health or lifestyle choices,Search online (Google / social media),Rarely,I prefer to play it safe,Long-term outcomes,Fear of making the wrong choice,Compare different options clearly,"Yes, definitely",Extremely important,Simple step-by-step guidance,Can't understand the problem exactly,It's very important.,2.0,1.0,1,1.2999999999999998,0.0,Low,2.0
Student / Exploring education and career options,18–21,Sometimes,"Career or education choices, Personal or relationship decisions",Ask friends or family,Sometimes,It depends on the situation,Long-term outcomes,"Fear of making the wrong choice, Too many options","Show risks and possible outcomes, Compare different options clearly","Maybe, if it’s transparent",Extremely important,Clear comparison of options,"biases response, unaware of the full picture before answering",choosing a decision with the best possible outcome,3.0,2.0,2,2.3,52.63157894736841,Moderate,3.0
Family & responsibility phase,Above 30,Sometimes,"Personal or relationship decisions, Health or lifestyle choices",Go with my gut feeling,Often,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,"Show risks and possible outcomes, Personalize advice based on my situation","Maybe, if it’s transparent",Extremely important,Simple step-by-step guidance,It is only a machine oriented tool or kind of robotic tool. It cannot be able to explain the human sycology.,Positive Outcomes,2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Student / Exploring education and career options,Below 18,Sometimes,Career or education choices,Go with my gut feeling,Often,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,Personalize advice based on my situation,"Yes, definitely",Extremely important,Simple step-by-step guidance,If the AI is not giving an appropriate reason and not have enough knowledge of my question,That you should see all the possible outcomes the pro and cons and also that is the decision worth it and will benifit me,2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Family & responsibility phase,Above 30,Rarely,I generally don’t overthink decisions,Ask friends or family,Rarely,It depends on the situation,Avoiding mistakes / minimizing risk,Conflicting advice from others,Compare different options clearly,Not sure,Slightly important,Short explanations with reasoning,Unclear and biased information,Deciding wisely,2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Student / Exploring education and career options,18–21,Sometimes,"Career or education choices, Financial or purchase decisions",Search online (Google / social media),Sometimes,I’m okay with moderate risks,Long-term outcomes,Fear of making the wrong choice,"Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly","Yes, definitely",Extremely important,Clear comparison of options,"I wouldn’t trust an AI decision support tool if it couldn’t explain its reasoning, showed clear bias, made inconsistent recommendations, or relied on outdated or low-quality data. Lack of transparency, poor accuracy, weak privacy protections, and no human oversight would also make me question its reliability and overall credibility.","Making the right decision means choosing the option that best aligns with my values, goals, and available evidence while considering the long-term impact.",3.0,3.0,1,2.1999999999999997,47.36842105263156,Moderate,3.0
Independent adult / Managing personal and financial decisions,Above 30,Sometimes,I generally don’t overthink decisions,Make a pros and cons list,Sometimes,It depends on the situation,Long-term outcomes,Too many options,"Show risks and possible outcomes, Compare different options clearly","Maybe, if it’s transparent",Extremely important,Clear comparison of options,If AI tool does not compare risk & rewards,One must have proper reason to back his or her decisions.,3.0,2.0,1,1.9,31.57894736842105,Low,3.0
Student / Exploring education and career options,Below 18,Sometimes,"Career or education choices, Financial or purchase decisions",Go with my gut feeling,Often,It depends on the situation,Long-term outcomes,"Fear of making the wrong choice, Too many options","Show risks and possible outcomes, Compare different options clearly","Yes, definitely",Important,Clear comparison of options,nothing,.,2.0,2.0,2,2.0,36.8421052631579,Moderate,2.0
Student / Exploring education and career options,Below 18,Rarely,Health or lifestyle choices,Make a pros and cons list,Often,I love taking risks,Long-term outcomes,Fear of making the wrong choice,"Show risks and possible outcomes, Compare different options clearly","Yes, definitely",Extremely important,Clear comparison of options,When it doesn't give me a logical reason for the option it suggests.,Not regretting it later,2.0,4.0,1,2.1999999999999997,47.36842105263156,Moderate,2.0
Student / Exploring education and career options,Below 18,Rarely,I generally don’t overthink decisions,Ask friends or family,Rarely,I’m okay with moderate risks,Long-term outcomes,"Fear of making the wrong choice, Not knowing possible outcomes","Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation","Yes, definitely",Extremely important,Clear comparison of options,"If it is biased towards particular topics for eg bias regarding political issues, governance",Having all the outcomes set and clear,2.0,3.0,2,2.3,52.63157894736841,Moderate,2.0
Student / Exploring education and career options,Below 18,Sometimes,Career or education choices,Search online (Google / social media),Often,It depends on the situation,Avoiding mistakes / minimizing risk,Fear of making the wrong choice,Show risks and possible outcomes,Not sure,Important,Simple step-by-step guidance,Idk,Future outcomes is positive,2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Student / Exploring education and career options,Below 18,Sometimes,Career or education choices,Delay the decision,Often,I’m okay with moderate risks,Long-term outcomes,"Fear of making the wrong choice, Conflicting advice from others",Show risks and possible outcomes,"Maybe, if it’s transparent",Important,Visual outcomes or scenarios,If it agrees with me all the time,"The right decision is the one that aligns with who I want to become and allows me to live with it peacefully, without regret.",2.0,3.0,2,2.3,52.63157894736841,Moderate,2.0
Student / Exploring education and career options,Below 18,Sometimes,Career or education choices,Go with my gut feeling,Sometimes,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,Break the decision into simple steps,"Maybe, if it’s transparent",Important,Simple step-by-step guidance,Biased or inaccurate outputs,Best possible outcomes,3.0,2.0,1,1.9,31.57894736842105,Low,3.0
Student / Exploring education and career options,Above 30,Almost Never,Personal or relationship decisions,Ask friends or family,Often,I avoid risks whenever possible,Long-term outcomes,Fear of making the wrong choice,Explain why a suggestion is given,Not sure,Important,Clear comparison of options,At present not aware of AI,Final result,2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Student / Exploring education and career options,Below 18,Sometimes,"Financial or purchase decisions, Personal or relationship decisions",Search online (Google / social media),Sometimes,I’m okay with moderate risks,Avoiding mistakes / minimizing risk,Fear of making the wrong choice,Compare different options clearly,"Maybe, if it’s transparent",Extremely important,Visual outcomes or scenarios,If it's ambiguous and giving different answers of the same situation if asked after a while,Committing to smth,3.0,3.0,1,2.1999999999999997,47.36842105263156,Moderate,3.0
Family & responsibility phase,Above 30,Sometimes,Personal or relationship decisions,Ask friends or family,Often,It depends on the situation,Avoiding mistakes / minimizing risk,Fear of making the wrong choice,Break the decision into simple steps,"Maybe, if it’s transparent",Extremely important,Simple step-by-step guidance,If it is bias and impractical,Something which can simplify decision making,2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Family & responsibility phase,Above 30,Sometimes,Personal or relationship decisions,Go with my gut feeling,Sometimes,It depends on the situation,Opinions of others,Not knowing possible outcomes,Personalize advice based on my situation,Not sure,Extremely important,Simple step-by-step guidance,Ai is artificial intelligence so i dont completely trust it,Making the right decisions mean taking a descision after know all the pros and cons,3.0,2.0,1,1.9,31.57894736842105,Low,3.0
Family & responsibility phase,Above 30,Sometimes,Financial or purchase decisions,Search online (Google / social media),Rarely,It depends on the situation,Avoiding mistakes / minimizing risk,Fear of making the wrong choice,Compare different options clearly,"Yes, definitely",Extremely important,Simple step-by-step guidance,Not having emotions and feelings unlike humans,Living life in a constructive way,2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Independent adult / Managing personal and financial decisions,Above 30,Sometimes,Personal or relationship decisions,Make a pros and cons list,Sometimes,I’m okay with moderate risks,Avoiding mistakes / minimizing risk,Conflicting advice from others,Personalize advice based on my situation,Not sure,Extremely important,Simple step-by-step guidance,Lack of transparency or explainability regarding how the AI reached its conclusion would be the primary reason to distrust it.,It means using the facts to pick the choice that does the most good and the least harm.,3.0,3.0,1,2.1999999999999997,47.36842105263156,Moderate,3.0
Family & responsibility phase,26–30,Sometimes,I generally don’t overthink decisions,Search online (Google / social media),Sometimes,It depends on the situation,Long-term outcomes,Not knowing possible outcomes,Show risks and possible outcomes,Not sure,Important,Clear comparison of options,.,Moving forward,3.0,2.0,1,1.9,31.57894736842105,Low,3.0
Early career / Building professional experience,22–25,Very often,Career or education choices,Delay the decision,Often,I’m okay with moderate risks,Long-term outcomes,Fear of making the wrong choice,"Break the decision into simple steps, Show risks and possible outcomes, Compare different options clearly, Personalize advice based on my situation, Explain why a suggestion is given","Maybe, if it’s transparent",Important,Simple step-by-step guidance,Too many confusing options,Give long term goal a direction,2.0,3.0,1,1.9,31.57894736842105,Low,2.0
Student / Exploring education and career options,Below 18,Sometimes,Career or education choices,Go with my gut feeling,Often,It depends on the situation,Long-term outcomes,Fear of making the wrong choice,Personalize advice based on my situation,"Yes, definitely",Extremely important,Visual outcomes or scenarios,"Lack of transparency, accountability, and accuracy","Making the right decision means choosing a course of action that aligns with your values, produces the best possible outcome given the available information, and can be justified ethically and logically.",2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Student / Exploring education and career options,Below 18,Rarely,Career or education choices,Ask friends or family,Sometimes,It depends on the situation,Other,"Fear of making the wrong choice, Not knowing possible outcomes","Show risks and possible outcomes, Compare different options clearly","Maybe, if it’s transparent",Extremely important,Visual outcomes or scenarios,It does not have emotions and haven't unlocked deep emotional learning yet,Having a proper knowledge and possible outcome of that decision with no regression,3.0,2.0,2,2.3,52.63157894736841,Moderate,3.0
Student / Exploring education and career options,Below 18,Sometimes,"Career or education choices, Financial or purchase decisions",Go with my gut feeling,Sometimes,It depends on the situation,Long-term outcomes,"Fear of making the wrong choice, Conflicting advice from others","Compare different options clearly, Personalize advice based on my situation","Maybe, if it’s transparent",Extremely important,Clear comparison of options,Reviews and if the answer given is top generalized,The after consequences,3.0,2.0,2,2.3,52.63157894736841,Moderate,3.0
Student / Exploring education and career options,Below 18,Sometimes,Career or education choices,Ask friends or family,Sometimes,I’m okay with moderate risks,Long-term outcomes,Fear of making the wrong choice,Compare different options clearly,Not sure,Extremely important,Clear comparison of options,That it would not tell me my mistakes and wrong decisions and instead would only praise me,On which i have confidence and i am sure that i will bear its good as well as bad consequences,3.0,3.0,1,2.1999999999999997,47.36842105263156,Moderate,3.0
Student / Exploring education and career options,Below 18,Very often,"Career or education choices, Personal or relationship decisions",Go with my gut feeling,Almost always,It depends on the situation,Long-term outcomes,"Fear of making the wrong choice, Conflicting advice from others, Lack of confidence","Break the decision into simple steps, Compare different options clearly, Personalize advice based on my situation","Yes, definitely",Extremely important,Simple step-by-step guidance,Making wrong decision,"choosing a path aligned with your core values, long-term goals, and well-being, even if it causes temporary discomfort.",2.0,2.0,3,2.4000000000000004,57.89473684210528,Moderate,2.0
Student / Exploring education and career options,Below 18,Sometimes,Career or education choices,Ask friends or family,Often,I’m okay with moderate risks,Long-term outcomes,Too many options,Explain why a suggestion is given,"Maybe, if it’s transparent",Slightly important,Simple step-by-step guidance,Some time it happens with me when I do not trust ai decisions,To give me an appropriate answer of the question,2.0,3.0,1,1.9,31.57894736842105,Low,2.0
Student / Exploring education and career options,18–21,Sometimes,I generally don’t overthink decisions,Delay the decision,Almost always,I avoid risks whenever possible,Avoiding mistakes / minimizing risk,Lack of confidence,Explain why a suggestion is given,Not sure,Not important,Clear comparison of options,Yes I not trust on AI,I not trust you,2.0,2.0,1,1.6,15.789473684210538,Low,2.0
Life transition / Re-evaluating goals,Below 18,Rarely,Personal or relationship decisions,Search online (Google / social media),Almost always,I prefer to play it safe,Long-term outcomes,Not knowing possible outcomes,Compare different options clearly,"Maybe, if it’s transparent",Slightly important,Simple step-by-step guidance,I dnt know,Good outcome,2.0,1.0,1,1.2999999999999998,0.0,Low,2.0
